loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 84, 38, 39.8, 11, 40, 24.9, Gaia DR3 4493998386897802240
1, 83, 31, 02.8, 11, 34, 35.3, HIP 86172 
1, 81, 31, 53.1, 11, 44, 03.1, HIP 86732 
1, 80, 27, 30.5,  9, 54, 33.1, Gaia DR3 4499317136958798464
1, 82, 27, 18.5,  9, 10, 55.9, SAO 103074
1, 85, 23, 55.2,  8,  6,  5.6, Gaia DR3 4490931196133498880
5, 69, 09, 21.3, 17, 39, 40.1, HD 336165 
5, 66, 11, 50.1, 18, 23, 26.6, HIP 91152 
5, 64, 30, 49.2, 18, 43, 01.6, SAO 86326 
5, 63, 10, 47.7, 17, 25, 50.9, HIP 92343 
5, 63, 39, 49.9, 16, 12, 41.4, HD 174549 
5, 65, 58, 57.4, 15, 48, 30.3, HD 172959 
5, 69, 08, 38.1, 16, 06, 29.7, HIP 90637 